Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
200,Ben Rortvedt,26,TBR,AL,111,87,67,782.0,790,755,26,9,2,.989,0,0,-1,-2,8.99,9.14,6.97,8.96,6,12,64,12,15.8,0,*2H/1,,rortvbe01
201,Rhys Hoskins,31,MIL,NL,94,88,76,777.1,660,602,55,3,52,.995,-5,-8,-3,-5,7.61,8.29,6.99,8.18,,,,,,,3D/H,,hoskirh01
202,Jake Fraley,29,CIN,NL,100,91,71,776.2,199,193,4,2,0,.990,3,4,-1,-2,2.28,2.21,1.97,2.18,,,,,,,9H/D78,,fraleja01
203,Jon Singleton,32,HOU,AL,94,88,72,768.2,640,568,64,8,60,.988,-14,-21,-8,-12,7.40,8.03,6.72,7.92,,,,,,,3HD,,singljo02
204,Byron Buxton,30,MIN,AL,94,87,79,767.0,206,204,2,0,0,1.000,-17,-27,2,3,2.42,2.27,2.19,2.24,,,,,,,8/HD,,buxtoby01
205,Alejandro Kirk,25,TOR,AL,93,89,77,766.0,759,706,46,7,6,.991,6,9,13,20,8.84,9.16,8.09,9.03,7,17,60,27,31.0,4,2/HD,,kirkal01
206,Jake Rogers,29,DET,AL,92,86,75,761.0,776,744,29,3,4,.996,5,8,13,20,9.14,9.16,8.40,9.03,1,21,39,13,25.0,0,2/DH,,rogerja03
207,Miguel Rojas,35,LAD,NL,102,86,67,757.0,334,132,199,3,27,.991,5,8,11,17,3.94,3.76,3.06,3.70,,,,,,,64H5/13,,rojasmi02
208,Kevin Newman,30,ARI,NL,109,79,65,754.1,332,114,213,5,52,.985,3,4,10,16,3.90,4.04,2.82,4.19,,,,,,,643/H57D,,newmake01
209,Tyrone Taylor,30,NYM,NL,113,75,51,754.1,199,193,3,3,0,.985,1,2,10,16,2.34,2.21,1.73,2.18,,,,,,,*98H7/D,,tayloty01
210,Oswaldo Cabrera,25,NYY,AL,104,79,70,753.1,301,136,158,7,19,.977,-4,-6,3,5,3.51,3.10,2.60,3.28,,,,,,,5H34/6791,,cabreos01
211,Josh Lowe,26,TBR,AL,92,87,69,743.1,195,189,2,4,1,.979,-2,-3,-2,-3,2.31,2.27,2.08,2.24,,,,,,,97/HD8,,lowejo01
212,Michael A. Taylor,33,PIT,NL,106,80,72,735.2,235,229,3,3,0,.987,9,15,11,18,2.84,2.21,2.19,2.18,,,,,,,8H/7D,,taylomi02
213,Gabriel Moreno,24,ARI,NL,93,83,78,732.0,669,636,31,2,4,.997,4,7,10,16,8.20,9.06,7.10,8.87,3,25,40,16,28.6,0,2H/5,,morenga01
214,Christian Vázquez,33,MIN,AL,89,82,75,731.1,806,773,29,4,2,.995,2,3,7,11,9.87,9.05,8.91,8.80,1,19,53,10,15.9,1,2/5DH3,,vazquch01
215,Tyler Fitzgerald,26,SFG,NL,88,81,71,728.1,314,120,180,14,33,.955,-5,-8,-5,-8,3.71,3.69,3.19,3.62,,,,,,,6H/8471D3,,fitzgty01
216,Zach McKinstry,29,DET,AL,107,79,44,727.1,235,84,142,9,24,.962,4,6,1,2,2.80,3.18,1.67,3.00,,,,,,,65H479/1D,,mckinza01
217,Francisco Alvarez,22,NYM,NL,96,82,70,726.0,806,775,25,6,1,.993,-7,-12,-1,-2,9.92,9.06,8.33,8.94,11,40,66,14,17.5,3,2/HD,,alvarfr01
218,José Miranda,26,MIN,AL,90,85,61,723.2,240,128,106,6,15,.975,-1,-1,1,2,2.91,3.24,2.54,3.23,,,,,,,5DH3/6,,miranjo01
219,Whit Merrifield,35,2TM,NL,88,80,69,723.0,254,114,135,5,29,.980,-2,-4,-5,-8,3.10,3.46,2.71,3.35,,,,,,,475H/D,,merriwh01
219,Whit Merrifield,35,PHI,NL,47,40,34,373.1,109,67,39,3,10,.972,0,1,0,0,2.56,2.82,2.08,2.78,,,,,,,745H/D,,merriwh01
219,Whit Merrifield,35,ATL,NL,41,40,35,349.2,145,47,96,2,19,.986,-3,-9,-5,-17,3.68,4.15,3.49,4.05,,,,,,,4/H5,,merriwh01
